,Positioning,Dual,Java,Build,3G bands,OS,CPU,GPU,Loudspeaker_1,Quad,Audio quality,Single,Dimensions,_2,Stand-by,Colors,Speed,USB,WLAN,Call records,Models,Video_1,Single_1,Status,Camera,Size,Infrared port,_4,2G bands,Features,Technology,Messaging,Keyboard,GPRS,Model Image,Type_1,SIM,Dual_1,SAR EU,Sensors,Loudspeaker,SAR,Talk time,Bluetooth,_1,Video,Battery (old),Resolution,Radio,Chipset,5G bands,Display,Protection,Triple,Phonebook,Weight,EDGE,Charging,Features_1,Card slot,NFC,3.5mm jack,Model Name,_3,Internal,Price,Announced,Games,Type,4G bands,Performance,Brand
No,GPS,,,,HSDPA 2100,Android 2.3.6 (Gingerbread),1.0 GHz Cortex-A9,PowerVR SGX531,,,,3.15 MP,124 x 65 x 11 mm (4.88 x 2.56 x 0.43 in),,,Black,HSPA,microUSB 2.0,"Wi-Fi 802.11 b/g/n, hotspot",,,,,Discontinued,,"4.0 inches, 45.5 cm2(~56.5% screen-to-body ratio)",,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,GSM / HSPA,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-a690.jpg,"Li-Ion 1500 mAh, removable",Dual SIM (Mini-SIM),,0.25 W/kg (head),"Accelerometer, proximity",Yes,,,Yes,,480p,,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",FM radio,Mediatek MT6575 (40 nm),,,,,,134 g (4.73 oz),,,,microSDHC (dedicated slot),No,Yes,Lenovo A690,,"512MB RAM, 512MB",About 90 EUR,"2013, January. Released 2013, January",,TFT,,,Lenovo
,GPS,,,,HSDPA 2100,Android 4.0.4 (Ice Cream Sandwich),Dual-core 1.0 GHz Cortex-A9,PowerVR SGX531u,,,,"8 MP, AF",132.3 x 68.3 x 9.9 mm (5.21 x 2.69 x 0.39 in),,,"Pink, White",HSPA,microUSB 2.0,"Wi-Fi 802.11 b/g/n, hotspot",,,,1 MP,Discontinued,,"4.5 inches, 55.8 cm2(~61.8% screen-to-body ratio)",,,GSM 900 / 1800 - SIM 1 & SIM 2,LED flash,GSM / HSPA,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-s720.jpg,"Li-Ion 2000 mAh, removable",Dual SIM (Mini-SIM),,,"Accelerometer, proximity",Yes,,,"2.1, A2DP, EDR",,720p,,"540 x 960 pixels, 16:9 ratio (~245 ppi density)",FM radio,Mediatek MT6577 (40 nm),,,,,,140 g (4.94 oz),,,,microSDHC (dedicated slot),No,Yes,Lenovo S720,,4GB 512MB RAM,About 230 EUR,"2013, January. Released 2013, January",,IPS LCD,,,Lenovo
,GPS,,,,HSDPA 2100,Android 4.1 (Jelly Bean),Dual-core 1.2 GHz Cortex-A9,PowerVR SGX531u,,,,"5 MP, AF",133 x 67 x 11.9 mm (5.24 x 2.64 x 0.47 in),,Up to 644 h,Black,HSPA,microUSB 2.0,"Wi-Fi 802.11 b/g/n, hotspot",,,,VGA,Discontinued,,"4.5 inches, 55.8 cm2(~62.6% screen-to-body ratio)",,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,LED flash,GSM / HSPA,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-p770.jpg,"Li-Ion 3500 mAh, removable","Dual SIM (Mini-SIM, dual stand-by)",,,"Accelerometer, proximity",Yes,,Up to 29 h,Yes,,"Yes,",,"540 x 960 pixels, 16:9 ratio (~245 ppi density)",FM radio,Mediatek MT6577 (40 nm),,,,,,161 g (5.68 oz),,,,"microSDHC (dedicated slot), 8 GB included",No,Yes,Lenovo P770,,4GB 1GB RAM,About 140 EUR,"2012, November. Released 2012, November",,IPS LCD,,,Lenovo
No,GPS,,,,HSDPA 900 / 2100 - SIM 1 only,Android 2.3.6 (Gingerbread),1.0 GHz Cortex-A9,PowerVR SGX531,,,,"2 MP, AF",115.8 x 60.8 x 11.9 mm (4.56 x 2.39 x 0.47 in),,Up to 192 h (2G) / Up to 192 h (3G),Black,HSPA 7.2/5.76 Mbps,microUSB 2.0,"Wi-Fi 802.11 b/g/n, hotspot",,,,,Discontinued,,"3.5 inches, 36.5 cm2(~51.8% screen-to-body ratio)",,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,GSM / HSPA,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-a60-plus.jpg,"Li-Ion 1500 mAh, removable","Dual SIM (Mini-SIM, dual stand-by)",,,"Accelerometer, proximity",Yes,,Up to 5 h (2G) / Up to 3 h (3G),"2.0, A2DP, EDR",MP4/WMV/H.264 playerMP3/WAV/WMA/eAAC+ playerPhoto/video editorDocument viewer,480p,,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",FM radio,Mediatek MT6575 (40 nm),,,,,,135 g (4.76 oz),,,,microSDHC (dedicated slot),No,Yes,Lenovo A60+,,"256MB RAM, 512MB",About 70 EUR,2012,,TFT,,,Lenovo
MP4/WMV/H.264 playerMP3/WAV/WMA/eAAC+ playerPhoto/video editorDocument viewer,GPS,,,,HSDPA 2100 - SIM 1 only,Android 4.0 (Ice Cream Sandwich),Dual-core 1.0 GHz Cortex-A9,PowerVR SGX531u,,,,"5 MP, AF",125 x 63 x 12.3 mm (4.92 x 2.48 x 0.48 in),,Up to 250 h,Deep Blue,HSPA,microUSB 2.0,"Wi-Fi 802.11 b/g/n, hotspot",,,,VGA,Discontinued,,"4.0 inches, 45.5 cm2(~57.8% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,GSM / HSPA,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-lephone-s560.jpg,"Li-Ion 2000 mAh, removable","Dual SIM (Mini-SIM, dual stand-by)",,,"Accelerometer, proximity, compass","Yes, with stereo speakers",,Up to 8 h,"3.0, A2DP, EDR",,480p,,"480 x 800 pixels, 5:3 ratio (~233 ppi density)","FM radio, buit-in antenna",Mediatek MT6577 (40 nm),,,,,,155 g (5.47 oz),,,,microSDHC (dedicated slot),No,Yes,Lenovo S560,,4GB 512MB RAM,About 180 EUR,2012,,IPS LCD,,,Lenovo
MP4/WMV/H.264 playerMP3/WAV/WMA/eAAC+ playerPhoto/video editorDocument viewer,GPS,,,,HSDPA 900 / 2100 - SIM 1 only,Android 4.0 (Ice Cream Sandwich),1.0 GHz Cortex-A9,PowerVR SGX531,,,,"5 MP, AF",142 x 78 x 9.9 mm (5.59 x 3.07 x 0.39 in),,Up to 312 h,"Black, White",HSPA 7.2/5.76 Mbps,microUSB 2.0,"Wi-Fi 802.11 b/g/n, hotspot",,,,VGA,Discontinued,,"5.0 inches, 71.2 cm2(~64.2% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,GSM / HSPA,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-lephone-s880.jpg,"Li-Ion 2250 mAh, removable","Dual SIM (Mini-SIM, dual stand-by)",,,"Accelerometer, proximity, compass",Yes,,Up to 17 h,"3.0, A2DP, EDR",,720p,,"480 x 800 pixels, 5:3 ratio (~187 ppi density)",FM radio; FM transmitter; built-in antenna,Mediatek MT6575 (40 nm),,,,,,196 g (6.91 oz),,,,microSDHC (dedicated slot),No,Yes,Lenovo S880,,4GB 512MB RAM,About 280 EUR,"2012, August. Released 2012, September",,TFT,,,Lenovo
IP67 dust/water resistant (up to 1m for 30 min),"GPS, A-GPS",,,,HSDPA 2100,Android 4.0.4 (Ice Cream Sandwich),Dual-core 1.0 GHz Cortex-A9,PowerVR SGX531u,,,,"5 MP, AF",125 x 65 x 10.5 mm (4.92 x 2.56 x 0.41 in),,,"Black, Orange",HSPA,microUSB 2.0,"Wi-Fi 802.11 b/g/n, hotspot",,,,VGA,Discontinued,,"4.0 inches, 45.5 cm2(~56.1% screen-to-body ratio)",,,GSM 900 / 1800 / 1900,,GSM / HSPA,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-a660.jpg,Removable Li-Ion 1500 mAh battery,Mini-SIM,,,"Accelerometer, proximity",Yes,,,Yes,MP4/WMV/H.264 playerMP3/WAV/WMA/eAAC+ playerOrganizerPhoto/video editorDocument viewerVoice memo/dialPredictive text input,Yes,,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",,Mediatek MT6577 (40 nm),,,Corning Gorilla Glass,,,138 g (4.87 oz),,,,"microSDHC (dedicated slot), 8 GB included",,Yes,Lenovo A660,,4GB 512MB RAM,About 190 EUR,"2012, September. Released Exp. release 2012, October",,IPS LCD,,,Lenovo
MP4/WMV/H.264 playerMP3/WAV/WMA/eAAC+ playerOrganizerPhoto/video editorDocument viewerVoice memo/dialPredictive text input,"GPS, A-GPS",,,,HSDPA 2100,Android 4.0.4 (Ice Cream Sandwich),Quad-core 1.4 GHz Cortex-A9,Mali-400MP4,,,,"8 MP, AF",143.5 x 74.4 x 9.6 mm (5.65 x 2.93 x 0.38 in),,Up to 336 h,"Black, Red",HSPA,microUSB 2.0,"Wi-Fi 802.11 b/g/n, hotspot",,,,2 MP,Discontinued,,"5.0 inches, 68.9 cm2(~64.6% screen-to-body ratio)",,,GSM 900 / 1800 / 1900,Dual-LED flash,GSM / HSPA,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-ideaphone-k860.jpg,Removable Li-Ion 2250 mAh battery,Mini-SIM,,,"Accelerometer, proximity, compass",Yes,,,Yes,,1080p@30fps,,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",FM radio,Exynos 4412 Quad (32 nm),,,Corning Gorilla Glass,,,193.5 g (6.81 oz),,,,microSDHC (dedicated slot),,Yes,Lenovo K860,,8GB 1GB RAM,About 290 EUR,"2012, August. Released 2012, August",,IPS LCD,,,Lenovo
MP4/WMV/H.264 playerMP3/WAV/WMA/eAAC+ playerOrganizerPhoto/video editorDocument viewerVoice memo/dialPredictive text input,"GPS, A-GPS",,,,HSDPA 900 / 2100,Android 4.0.4 (Ice Cream Sandwich),Dual-core 1.0 GHz Cortex-A9,PowerVR SGX531u,,,,"5 MP, AF",125.6 x 64.6 x 12.8 mm (4.94 x 2.54 x 0.50 in),,Up to 312 h,"Dark Blue, White",HSPA 7.2/5.76 Mbps,microUSB 2.0,"Wi-Fi 802.11 b/g/n, hotspot",,,,VGA,Discontinued,,"4.0 inches, 45.5 cm2(~56.1% screen-to-body ratio)",,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,GSM / HSPA,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-p700i.jpg,Removable Li-Ion 2500 mAh battery,"Dual SIM (Mini-SIM, dual stand-by)",,0.40 W/kg (head),"Accelerometer, proximity, compass",Yes,,Up to 22 h,"3.0, A2DP, EDR",,720p@30fps,,"480 x 800 pixels, 5:3 ratio (~233 ppi density)",FM radio; FM transmitter,Mediatek MT6577 (40 nm),,,,,,162 g (5.71 oz),,,,"microSDHC (dedicated slot), 2 GB included",,Yes,Lenovo P700i,,"4GB (1.85GB user available), 512MB RAM",About 140 EUR,"2012. Released 2013, January",,IPS LCD,,,Lenovo
No,"GPS, A-GPS",,,,HSDPA 900 / 2100,Android 2.3.5 (Gingerbread),650 MHz Cortex-A9,PowerVR SGX531,,,,3.15 MP,116 x 59.9 x 12.6 mm (4.57 x 2.36 x 0.50 in),,,Black,HSPA,microUSB 2.0,"Wi-Fi 802.11 b/g/n, hotspot",,,,,Discontinued,,"3.5 inches, 36.5 cm2(~52.5% screen-to-body ratio)",,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,GSM / HSPA,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-a65.jpg,Removable Li-Ion 1500 mAh battery,"Dual SIM (Mini-SIM, dual stand-by)",,,Accelerometer,Yes,,,Yes,MP4/WMV/H.264 playerMP3/WAV/WMA/eAAC+ playerOrganizerPhoto/video editorDocument viewerVoice memo/dialPredictive text input,Yes,,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",FM radio,Mediatek MT6573 (65 nm),,,,,,-,,,,"microSDHC (dedicated slot), 4 GB included",,Yes,Lenovo A65,,220MB,About 90 EUR,"2012, July. Released 2012, July",,"TFT, 256K colors",,,Lenovo
No,No,,No,,,,104 MHz,No,,,,VGA,118.5 x 51.3 x 13.5 mm (4.67 x 2.02 x 0.53 in),,Up to 400 h,"Black, White",,miniUSB,No,Yes,,,,Discontinued,,"2.6 inches, 20.9 cm2(~34.4% screen-to-body ratio)",,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,LED flash,GSM,"SMS, MMS",,Yes,https://fdn2.gsmarena.com/vv/bigpic/lenovo-a335.jpg,Removable Li-Ion 1700 mAh battery,"Dual SIM (Mini-SIM, dual stand-by)",,,,Yes,,Up to 7 h,"2.0, A2DP",MP3 playerOrganizer,Yes,,"240 x 320 pixels, 4:3 ratio (~154 ppi density)","FM radio, recording",Mediatek MT6253,,,,,500 entries,102 g (3.60 oz),Yes,,,microSDHC (dedicated slot),,Yes,Lenovo A335,,,About 40 EUR,"2012, January",Yes,"TFT, 256K colors",,,Lenovo
Flashlight,No,,No,,,,,,,,,VGA,118 x 49.8 x 15.8 mm (4.65 x 1.96 x 0.62 in),MP3 playerOrganizer,Up to 545 h,Black,,microUSB,No,Yes,,,,Discontinued,,"2.4 inches, 17.8 cm2(~30.4% screen-to-body ratio)",,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,GSM,"SMS, MMS",,Yes,https://fdn2.gsmarena.com/vv/bigpic/lenovo-a185.jpg,Removable Li-Ion 1800 mAh battery,"Dual SIM (Mini-SIM, dual stand-by)",,,,Yes,,Up to 7 h,"2.0, A2DP",No,Yes,,"240 x 320 pixels, 4:3 ratio (~167 ppi density)","FM radio, recording",Mediatek MT6252,,,,,1000 entries,93 g (3.28 oz),Yes,,,microSDHC (dedicated slot),,Yes,Lenovo A185,,,About 40 EUR,"2011, December",Yes,"TFT, 256K colors",,,Lenovo
No,No,,Yes,,,,104 MHz,No,,,,2 MP,120.5 x 48.5 x 13 mm (4.74 x 1.91 x 0.51 in),,Up to 350 h,"Black, White",,miniUSB,No,Yes,,,,Discontinued,,"2.4 inches, 17.8 cm2(~30.5% screen-to-body ratio)",,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,GSM,"SMS, MMS",,Yes,https://fdn2.gsmarena.com/vv/bigpic/lenovo-s800.jpg,Removable Li-Ion 650 mAh battery,Dual SIM (Mini-SIM),,,Accelerometer,Yes,,Up to 4 h,"2.0, A2DP",MP3 playerOrganizerVoice memo,Yes,,"240 x 320 pixels, 4:3 ratio (~167 ppi density)","FM radio, recording",Mediatek MT6253,,,,,1000 entries,124 g (4.37 oz),Yes,,,microSDHC (dedicated slot),,No,Lenovo S800,,,About 160 EUR,"2011, October",Yes,"Transparent, monochrome",,,Lenovo
No,No,,Yes,,,,,,,,,3.15 MP,110 x 59 x 12.5 mm (4.33 x 2.32 x 0.49 in),,Up to 350 h,Red,,microUSB,Wi-Fi 802.11 b/g,Yes,,,,Discontinued,,"2.3 inches, 16.4 cm2(~25.2% screen-to-body ratio)",,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,GSM,"SMS, MMS, Email",QWERTY,Yes,https://fdn2.gsmarena.com/vv/bigpic/lenovo-q350.jpg,Removable Li-Ion 1100 mAh battery,"Dual SIM (Mini-SIM, dual stand-by)",,,,Yes,,Up to 4 h,"2.0, A2DP",SNS integrationMP3 playerOrganizerVoice memo,Yes,,"320 x 240 pixels, 4:3 ratio (~174 ppi density)","FM radio, recording",Mediatek MT6235,,,,,1000 entries,100 g (3.53 oz),Yes,,,microSDHC (dedicated slot),,Yes,Lenovo Q350,,63MB,About 60 EUR,"2011, October",Yes,"TFT, 65K colors",,,Lenovo
No,No,,Yes,,,,104 MHz,No,,,,2 MP,103 x 58 x 13.5 mm (4.06 x 2.28 x 0.53 in),,Up to 300 h,"Black, White",,miniUSB,No,Yes,,,,Discontinued,,"2.3 inches, 16.4 cm2(~27.4% screen-to-body ratio)",,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,GSM,"SMS, MMS, Email, Push Email",QWERTY,Yes,https://fdn2.gsmarena.com/vv/bigpic/lenovo-q330.jpg,Removable Li-Ion 1000 mAh battery,"Dual SIM (Mini-SIM, dual stand-by)",,,,Yes,,Up to 5 h,"2.0, A2DP",SNS integrationMP3 playerOrganizerVoice memo,Yes,,"320 x 240 pixels, 4:3 ratio (~174 ppi density)","FM radio, recording",Mediatek MT6253,,,,,1000 entries,87 g (3.07 oz),Yes,,,microSDHC (dedicated slot),,No,Lenovo Q330,,,About 30 EUR,"2011, October",Yes,"TFT, 65K colors",,,Lenovo
No,No,,No,,,,104 MHz,No,,,,VGA,113.5 x 49 x 13.1 mm (4.47 x 1.93 x 0.52 in),,Up to 250 h,"Orange, Green",,miniUSB,No,Yes,,,,Discontinued,,"2.4 inches, 17.8 cm2(~32.1% screen-to-body ratio)",,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,GSM,"SMS, MMS",,Yes,https://fdn2.gsmarena.com/vv/bigpic/lenovo-a336.jpg,Removable Li-Ion 1400 mAh battery,"Dual SIM (Mini-SIM, dual stand-by)",,,,Yes,,Up to 7 h,"2.0, A2DP",MP3/AAC playerOrganizerVoice memo,Yes,,"240 x 320 pixels, 4:3 ratio (~167 ppi density)","FM radio, recording",Mediatek MT6253DV,,,,,500 entries,92 g (3.25 oz),Yes,,,microSDHC (dedicated slot),,Yes,Lenovo A336,,,About 40 EUR,"2011, October",Yes,"TFT, 256K colors",,,Lenovo
No,No,,No,,,,,,,,,,101 x 44.3 x 14.4 mm (3.98 x 1.74 x 0.57 in),,Up to 400 h,"Black, Red",,miniUSB,No,Yes,,,,Discontinued,,"1.5 inches, 7.3 cm2(~16.2% screen-to-body ratio)",,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,GSM,"SMS, MMS",,Yes,https://fdn2.gsmarena.com/vv/bigpic/lenovo-e156.jpg,Removable Li-Ion 650 mAh battery,"Dual SIM (Mini-SIM, dual stand-by)",,,,Yes,,Up to 4 h,No,MP3/AAC playerOrganizerVoice memo,,,"128 x 128 pixels, 1:1 ratio (~121 ppi density)","FM radio, recording",Mediatek MT6223D,,,,,500 entries,70.2 g (2.47 oz),No,,,microSDHC (dedicated slot),,No,Lenovo E156,,,About 30 EUR,"2011, October",Yes,"TFT, 65K colors",,,Lenovo
Lenovo Magic UI v3.0,"GPS, A-GPS",,,,HSDPA 850 / 1900 / 2100,Android 2.3.4 (Gingerbread),Dual-core 1.4 GHz Cortex-A9,,,,,"8 MP, AF",122 x 60 x 10.9 mm (4.80 x 2.36 x 0.43 in),,Up to 400 h (2G) / Up to 400 h (3G),Black,HSPA,microUSB 2.0 (MHL TV-out),"Wi-Fi 802.11 b/g/n, hotspot",,,,VGA,Discontinued,,"3.8 inches, 41.1 cm2(~56.1% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900,LED flash,GSM / HSPA,,,,https://fdn2.gsmarena.com/vv/bigpic/Lenovo-LePhone-S2.jpg,Removable Li-Ion 1500 mAh battery,Mini-SIM,,,"Accelerometer, proximity, compass",Yes,,Up to 7 h 30 min (2G) / Up to 5 h (3G),"2.1, A2DP, EDR",Mobile TVMP4/WMV/H.264 playerMP3/WAV/WMA/eAAC+ playerOrganizerPhoto/video editorDocument viewerVoice memo/dialPredictive text input,720p@30fps,,"480 x 800 pixels, 5:3 ratio (~246 ppi density)",No,,,,,,,120 g (4.23 oz),,,,No,,Yes,Lenovo LePhone S2,,"8GB 512MB RAM, 16GB 1GB RAM",About 370 EUR,"2012, January. Released 2012, March",,LCD,,,Lenovo
MP4/WMV/H.264 playerMP3/WAV/WMA/eAAC+ playerOrganizerPhoto/video editorDocument viewerVoice memo/dialPredictive text input,"GPS, A-GPS",,,,HSDPA 900 / 2100 - SIM 1 only,Android 2.3.5 (Gingerbread),650 MHz Cortex-A9,PowerVR SGX531,,,,3.15 MP,116 x 59.9 x 12.6 mm (4.57 x 2.36 x 0.50 in),,Up to 200 h,Gray,HSPA 7.2/5.76 Mbps,microUSB 2.0,"Wi-Fi 802.11 b/g, hotspot",,,,VGA,Discontinued,,"3.5 inches, 36.5 cm2(~52.5% screen-to-body ratio)",,,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,,GSM / HSPA,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-a60.jpg,Removable Li-Ion 1500 mAh battery,Dual SIM (Mini-SIM),,,"Accelerometer, proximity, compass",Yes,,Up to 6 h,"2.1, A2DP",,Yes,,"320 x 480 pixels, 3:2 ratio (~165 ppi density)",FM radio,Mediatek MT6573 (65 nm),,,,,,135 g (4.76 oz),,,,"microSDHC (dedicated slot), 2 GB included",,Yes,Lenovo A60,,220MB,About 120 EUR,2011,,"TFT, 256K colors",,,Lenovo
MP4/WMV/H.264 playerMP3/WAV/WMA/eAAC+ playerOrganizerPhoto/video editorDocument viewerVoice memo/dial/commandsPredictive text input,"GPS, A-GPS",,,,HSDPA 850 / 900 / 2100 / 1800,Android 2.3.7 (Gingerbread),1.6 GHz,PowerVR SGX540,,,,"8 MP, AF",130.5 x 71.2 x 11 mm (5.14 x 2.80 x 0.43 in),,,Black,HSPA 21.1/5.76 Mbps,microUSB 2.0,"Wi-Fi 802.11 b/g/n, hotspot",,,,Yes,Discontinued,,"4.5 inches, 55.8 cm2(~60.1% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900,Dual-LED flash,GSM / HSPA,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-k800.jpg,Removable Li-Ion 1900 mAh battery,Mini-SIM,,,"Accelerometer, proximity, compass",Yes,,,"2.1, A2DP, EDR",,1080p@30fps,,"720 x 1280 pixels, 16:9 ratio (~326 ppi density)",No,Intel Atom Z2460,,,,,,161 g (5.68 oz),,,,microSDHC (dedicated slot),,Yes,Lenovo K800,,16GB 1GB RAM,About 190 EUR,"2012, January. Released 2012, September",,IPS LCD,,,Lenovo
HDMI portMP3/WAV/WMA/AAC playerMP4/H.264 playerDocument viewerOrganizerPredictive text input,,,,,HSDPA 2100,Android 4.0 (Ice Cream Sandwich),Dual-core 1.5 GHz Krait,Adreno 225,,,,"5 MP, AF",-,,,Black,HSPA,microUSB 2.0,"Wi-Fi 802.11 b/g/n, hotspot",,,,Yes,Discontinued,,"10.0 inches, 290.0 cm2",,,GSM 850 / 900 / 1800 / 1900,,GSM / HSPA,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-IdeaPad-S2.jpg,Non-removable Li-Ion 1350 mAh battery,Mini-SIM,,,"Accelerometer, gyro, compass","Yes, with stereo speakers",,Up to 9 h (multimedia),"2.1, A2DP, EDR",,Yes,,"800 x 1280 pixels, 16:10 ratio (~151 ppi density)",No,Qualcomm MSM8960 Snapdragon S4 Plus,,,,,,580 g (1.28 lb),,,,microSDHC (dedicated slot),,Yes,Lenovo IdeaPad S2,,"32GB 1GB RAM, 64GB 1GB RAM",,"2012, January. Released 2012, September",,LED-backlit IPS LCD,,,Lenovo
CDMA2000 1xEV-DO,"GPS, A-GPS",,,,HSDPA 2100,"Android 2.3 (Gingerbread), upgradable to 4.0 (Ice Cream Sandwich)",Dual-core 1.5 GHz Scorpion,Adreno 220,,,,"8 MP, AF",265.9 x 183.4 x 9.9 mm (10.47 x 7.22 x 0.39 in),,,Black/Orange,"EV-DO Rev.A 3.1 Mbps, HSPA",microUSB 2.0,"Wi-Fi 802.11 b/g/n, hotspot",,,720p,1.3 MP,Discontinued,,"10.1 inches, 295.8 cm2(~60.7% screen-to-body ratio)",,,,LED flash,HSPA / EVDO,,,,https://fdn2.gsmarena.com/vv/bigpic/Lenovo-LePad-S2010.jpg,Non-removable Li-Ion 7560 mAh battery (28 Wh),No,,,"Accelerometer, compass",Yes,,Up to 11 h (multimedia),"2.1, A2DP, EDR",HDMI portMP3/WAV/WMA/AAC playerMP4/H.264 playerDocument viewerOrganizerPredictive text input,Yes,,"800 x 1280 pixels, 16:10 ratio (~149 ppi density)",No,Qualcomm Snapdragon,,,,,,670 g (1.48 lb),,,,microSDHC (dedicated slot),,Yes,Lenovo LePad S2010,,16GB 1GB RAM,,"2011, November. Released 2012, Q4",,IPS LCD,,,Lenovo
CDMA2000 1xEV-DO,"GPS, A-GPS",,,,HSDPA 2100,"Android 2.3 (Gingerbread), upgradable to 4.0 (Ice Cream Sandwich)",Dual-core 1.5 GHz Scorpion,Adreno 220,,,,"8 MP, AF",200.2 x 127.6 x 9.7 mm (7.88 x 5.02 x 0.38 in),,,Black/Orange,"EV-DO Rev.A 3.1 Mbps, HSPA",microUSB 2.0,"Wi-Fi 802.11 b/g/n, hotspot",,,720p,1.3 MP,Discontinued,,"7.0 inches, 142.1 cm2(~55.6% screen-to-body ratio)",,,,LED flash,HSPA / EVDO,,,,https://fdn2.gsmarena.com/vv/bigpic/Lenovo-LePad-S2007.jpg,Non-removable Li-Ion 3780 mAh battery (14 Wh),No,,,"Accelerometer, compass",Yes,,Up to 8 h (multimedia),"2.1, A2DP, EDR",HDMI portMP3/WAV/WMA/AAC playerMP4/H.264 playerDocument viewerOrganizerPredictive text input,Yes,,"800 x 1280 pixels, 16:10 ratio (~216 ppi density)",No,Qualcomm Snapdragon,,,,,,357 g (12.59 oz),,,,microSDHC (dedicated slot),,Yes,Lenovo LePad S2007,,16GB 1GB RAM,,"2011, November. Released 2012, Q4",,IPS LCD,,,Lenovo
HDMI portMP3/WAV/WMA/AAC playerMP4/H.264 playerDocument viewerOrganizerPredictive text input,"GPS, A-GPS",,,,HSDPA 2100,Android 2.3 (Gingerbread),Dual-core 1.2 GHz Scorpion,Adreno 220,,,,"5 MP, AF",155.5 x 81.7 x 10 mm (6.12 x 3.22 x 0.39 in),,Up to 300 h,Black/Orange,HSPA 14.4/5.76 Mbps,microUSB 2.0,"Wi-Fi 802.11 b/g/n, hotspot",,,,Yes,Discontinued,,"5.0 inches, 71.2 cm2(~56.0% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900,LED flash,GSM / HSPA,,,,https://fdn2.gsmarena.com/vv/bigpic/Lenovo-LePad-S2005.jpg,Removable Li-Ion 1680 mAh battery,Mini-SIM,,,"Accelerometer, proximity, compass",Yes,,Up to 7 h,"3.0, A2DP",,1080p@30fps,,"480 x 800 pixels, 5:3 ratio (~187 ppi density)",No,Qualcomm MSM8260 Snapdragon S3,,,,,,198 g (6.98 oz),,,,microSDHC (dedicated slot),,Yes,Lenovo LePad S2005,,8GB 1GB RAM,,"2011, November. Released 2011, December",,IPS LCD,,,Lenovo
MP3/WAV/WMA/AAC playerMP4/H.264 playerDocument viewerOrganizerPredictive text input,GPS,,,,,Android 2.3 (Gingerbread),1.0 GHz Cortex-A8,,,,,3.15 MP,195 x 125 x 12 mm (7.68 x 4.92 x 0.47 in),,,"Pink, White, Black, Blue",,miniUSB 2.0,"Wi-Fi 802.11 b/g/n, hotspot",,,,VGA,Discontinued,,"7.0 inches, 137.9 cm2(~56.6% screen-to-body ratio)",,,,,No cellular connectivity,,,No,https://fdn2.gsmarena.com/vv/bigpic/Lenovo-IdeaPad-A1.jpg,Non-removable Li-Ion battery,No,,,"Accelerometer, compass",Yes,,Up to 6 h (multimedia),"2.1, A2DP, EDR",,Yes,,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",No,,,,,,,400 g (14.11 oz),No,,,microSDHC (dedicated slot),,Yes,Lenovo IdeaPad A1,,16GB 512MB RAM,About 170 EUR,"2011, November. Released 2011, October",,TFT,,,Lenovo
